"Property Address","Mailing City","Mailing State","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"51 SCHUYLER AVENUE",STAMFORD,CT,41.054446,-73.546946,1,rooftop,"51 Schuyler Ave",,"Stamford, CT 06902",51,"Schuyler Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn2npq23h8lrd567x34r595zr932,building_centroid
"51 SCHUYLER AVENUE",STAMFORD,CT,41.054446,-73.546946,1,rooftop,"51 Schuyler Ave",,"Stamford, CT 06902",51,"Schuyler Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn2npq23h8lrd567x34r595zr932,building_centroid
"51 SCHUYLER AVENUE",STAMFORD,CT,41.054446,-73.546946,1,rooftop,"51 Schuyler Ave",,"Stamford, CT 06902",51,"Schuyler Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn2npq23h8lrd567x34r595zr932,building_centroid
"22 GLENBROOK ROAD",STAMFORD,CT,41.056072,-73.529571,1,rooftop,"22 Glenbrook Rd",,"Stamford, CT 06902",22,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve75as6yem6zz38,building_centroid
"22 GLENBROOK ROAD ",STAMFORD,CT,41.056072,-73.529571,1,rooftop,"22 Glenbrook Rd",,"Stamford, CT 06902",22,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve75as6yem6zz38,building_centroid
"22 GLENBROOK ROAD",STAMFORD,CT,41.056072,-73.529571,1,rooftop,"22 Glenbrook Rd",,"Stamford, CT 06902",22,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve75as6yem6zz38,building_centroid
"22 GLENBROOK ROAD",STAMFORD,CT,41.056072,-73.529571,1,rooftop,"22 Glenbrook Rd",,"Stamford, CT 06902",22,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve75as6yem6zz38,building_centroid
"22 GLENBROOK ROAD #315",STAMFORD,CT,41.056072,-73.529571,1,rooftop,"22 Glenbrook Rd","Apt 315","Stamford, CT 06902",22,"Glenbrook Rd",Apt,315,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve75as6yem6zz38-tsn84272j4m79,building_centroid
"22 GLENBROOK ROAD",STAMFORD,CT,41.056072,-73.529571,1,rooftop,"22 Glenbrook Rd",,"Stamford, CT 06902",22,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve75as6yem6zz38,building_centroid
"22 GLENBROOK ROAD",STAMFORD,CT,41.056072,-73.529571,1,rooftop,"22 Glenbrook Rd",,"Stamford, CT 06902",22,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve75as6yem6zz38,building_centroid
